"shopProductID","productName","stockTake"
"232","Amber jewel No1",1
"233","Amber Jewel pkt",1
"125","Apricot in box",1
"124","Apricot Med",1
"123","Apricot No1",1
"64","Asian Luffa (Muop)",1
"127","Avocado box",1
"126","Avocado tray",1
"87","Baby cos",1
"8","Baby eggplant",1
"9","Baby eggplant strip",1
"88","Baby spinach",1
"366","Baby spinach in bag",1
"358","Bac ha kg",1
"255","Banana",1
"257","Banana carnarvon",1
"256","Banana Green",1
"259","Banana l/finger",1
"260","Banana Monkey",1
"258","Banana Pack",1
"261","Banana  Sticky",1
"7","Bean sprouts",1
"10","Beetroots",1
"11","Beetroots Gourmet",1
"2","Bitter melon",150
"178","Blueberry",1
"370","Bong He",1
"4","Broccoli",32
"6","Broccoli ice",1
"5","Broccolini",22
"268","Brown onion 10kg",1
"269","Brown onion 20kg",1
"270","Brown onion 2kg",1
"271","Brown onion loose",1
"12","Brusell sprouts",1
"83","Butter Lectuce",1
"14","Cab Chinese",1
"17","Cab red",1
"13","Cabbage",1
"15","Cabbage bin",1
"16","Cabbage savoy",1
"26","Caps green",1
"27","Caps green sale",1
"28","Caps Mix",1
"25","Caps yellow",1
"24","Capsicum red",1
"23","Capsicum Red No1",1
"29","Carrot 1kg",1
"30","Carrot 1kg sale",1
"32","Carrot 20kg",1
"31","Carrot 5kg",1
"34","Carrot baby",1
"33","Carrot loose",1
"18","Cauliflower",1
"19","Celeriac",1
"20","Celery",1
"133","Cherry 2kg",1
"132","Cherry 5kg",1
"135","Cherry U.S 20 Lb",1
"134","Cherry U.S 10 Lb",1
"35","Chestnuts 1 kg",1
"37","Chestnuts 10 kg",1
"36","Chestnuts box",1
"80","Chicory",1
"38","Chilli green big",1
"40","Chilli hot small",1
"39","Chilli red big",1
"42","Chinese melon",1
"354","Chive (He )kg",1
"43","ChoKo",1
"323","Choysum big",1
"324","Choysum small",1
"78","Coral green",1
"77","Coral red",1
"329","Coriander",1
"51","Corn baby",1
"50","Corn sweet",1
"81","Cos lettuce",1
"52","Courgette",1
"47","Cucum Leb sale",1
"44","Cucumber burp",1
"45","Cucumber burp sale",1
"48","Cucumber green",1
"46","Cucumber Leb",1
"49","Cucumber pickle",1
"67","Curry Leaf",1
"131","Cusan",1
"128","Custard Apple",1
"338","Dap ca",1
"367","Dates 250g",1
"368","Dates 5kg",1
"53","Dill",1
"369","Dot Dau",1
"361","Dot lang Kg",1
"349","Dragon Fruit",1
"130","Dried coconut",1
"136","Durian",1
"199","Early Gold Apple",1
"54","Egg fruit",1
"309","Eggs 600g",1
"310","Eggs 700g",1
"311","Eggs 850g",1
"317","Eggs Loose",1
"312","Eggs WR 600g",1
"313","Eggs WR 700g",1
"314","Eggs GE 500g",1
"315","Eggs GE 600g",1
"316","Eggs GE 700g",1
"322","English spinach",1
"343","Enoki 200g",1
"344","Enoki 330g",1
"56","Fennel leek",1
"75","Festival green",1
"76","Festival red",1
"202","Firm gold apple",1
"318","Free range 600g",1
"319","Free range 700g",1
"320","Free range 800g",1
"129","Fresh coconut",1
"188","Fuji good",1
"189","Fuji sale",1
"139","Fuju persimmon",1
"140","Fuju persimmon loose",1
"362","Gala 1.5 kg",1
"194","Gala 6 pkt",1
"191","Gala good",1
"195","Gala lunchbox 1kg",1
"192","Gala Sale",1
"193","Gala sale bin",1
"57","Galanga",1
"262","Garlic 500g",1
"265","Garlic Chives",1
"264","Garlic local",1
"263","Garlic peel 500g",1
"352","Garlic Shoot",1
"59","Ginger old",1
"60","Ginger young",1
"196","Golden delicious",1
"197","Granny Smith",1
"198","Granny Smith pkt",1
"247","Grape Black",1
"249","Grape red globe",1
"248","Grape red seedless",1
"250","Grape white seedless",1
"254","Grapefruit Pomelo",1
"246","Guava",1
"357","Hanh huong Kg",1
"200","Hi Early",1
"201","Hi Early pkt",1
"154","Honey dew",1
"155","Honey dew gold",1
"159","Imperial Pkt",1
"90","Italian basil",1
"66","Jackfruit",1
"208","Jazz Apple",1
"326","Kai choy",1
"325","Kailan",1
"321","Kale",1
"190","Kanzi",1
"345","King Oyster",1
"359","Kinh gioi Kg",1
"210","Kiwi",1
"212","Kiwi gold",1
"211","Kiwi Tray",1
"334","Kohlrabi",1
"356","La Lot",1
"203","Lady William",1
"68","Leek",1
"71","Lemon 2nd",1
"69","Lemon good",1
"70","Lemon pre-pack",1
"333","Lemongrass",1
"82","Lettuce",1
"85","Lettuce mix 250g",1
"84","Lettuce trio",1
"73","Lime",1
"74","Lime Kaffir",1
"341","Lime Leaf",1
"72","Lime pkt",1
"137","Longan",1
"58","Lotus Root",1
"63","Luffa (India)",1
"138","Lychees",1
"163","Mandarin Afourer",1
"164","Mandarin Afourer Pkt",1
"166","Mandarin Amigo",1
"160","Mandarin Clementine",1
"157","Mandarin Daisy",1
"156","Mandarin Egypt",1
"165","Mandarin Hickson",1
"158","Mandarin Imperial",1
"167","Mandarin Pre-pack",1
"149","Mango bulk",1
"141","Mango green",1
"144","Mango Ken",1
"145","Mango Ken 23",1
"146","Mango Ken 25",1
"142","Mango Mexico",1
"143","Mango Mexico Yellow",1
"148","Mango R2E2",1
"150","Mangosteen",1
"365","Mesculin mix",1
"330","Mint",1
"348","mixed goumet",1
"340","Mong toi",1
"161","Murcott mandarin",1
"92","Mushrooms",1
"94","Mushrooms field",1
"93","Mushrooms punnet",1
"225","Nashi pear",1
"226","Nashi pear No2",1
"227","Nashi pear pkt",1
"168","Nectarines sale",1
"169","Nectarines white",1
"170","Nectarines white pkt",1
"171","Nectarines yellow",1
"172","Nectarines yellow pkt",1
"335","Ngo gai",1
"336","Ngo om",1
"281","Okra baby",1
"353","Onion Flower",1
"275","Onion pickle",1
"273","Onion red 10 kg",1
"274","onion red 1kg",1
"272","Onion red 2 kg",1
"280","Onion salad red",1
"279","Onion salad white",1
"277","Onion white 10 kg",1
"276","Onion white 20 kg",1
"278","Onion white 5 kg",1
"285","Orange 2 kg",1
"286","Orange 3kg",1
"283","Orange box",1
"288","Orange Cara Bins",1
"287","Orange cara box",1
"282","Orange Navel",1
"284","Orange Sales",1
"346","oyster 100g",1
"355","Pandan leaf",1
"179","Papaya",1
"95","Paprika green",1
"96","Paprika red",1
"97","Paprika yellow",1
"99","Parsley",1
"98","Parsley Italian",1
"100","Parsnips",1
"151","Passion fruit",1
"180","Paw paw green",1
"177","Peaches Donut",1
"176","Peaches Gold",1
"174","Peaches white",1
"173","Peaches white NO1",1
"175","Peaches yellow",1
"217","Pear barlet",1
"218","Pear bosc",1
"219","Pear cocktail",1
"223","Pear Corella",1
"220","Pear josephine",1
"216","Pear kosui",1
"213","Pear packham",1
"214","Pear Packham Pkt",1
"221","Pear Precose",1
"224","Pear Red",1
"215","Pear Yaly",1
"181","Pineapples leaf",1
"182","Pineapples sugar",1
"206","Pink lady good",1
"207","Pink lady PKT",1
"245","Plum August Candy",1
"230","Plum Bella",1
"229","Plum Black Amber",1
"240","Plum Dappe Danny",1
"244","Plum Flavour fall",1
"241","Plum Fortune",1
"238","Plum Kelsey",1
"243","Plum Mid Red",1
"242","Plum Midnight",1
"236","Plum October",1
"237","Plum Primetime",1
"228","Plum Seria",1
"239","Plum Sunrise",1
"234","Plum Tegan Blue",1
"235","Plum tegan blue pkt",1
"327","Pok choy",1
"183","Pomegranates",1
"152","Pomelo",1
"290","Potato 15kg",1
"291","Potatoes 10kg gourmet",1
"292","Potatoes 10kg select",1
"289","Potatoes 16kg",1
"297","Potatoes 20kg GM",1
"298","Potatoes 20kg RB",1
"299","Potatoes 20kg SL",1
"293","Potatoes 4kg Blue",1
"294","Potatoes 4kg Purple",1
"295","Potatoes 4kg Red",1
"296","Potatoes 4kg Yellow",1
"222","Precose lunch box",1
"184","Prune",1
"304","Pumpkin butter",1
"306","Pumpkin gold",1
"305","Pumpkin japanese",1
"371","Purple yam",1
"79","Radichio",1
"153","Rambutan",1
"360","Rau dang kg",1
"332","Rau den",1
"337","Rau ram",1
"252","Red Grapefruit",1
"107","Red radish",1
"101","Rhubarb",1
"209","Robi gold Apple",1
"185","Rock melon",1
"89","Rocket",1
"102","Runner bean",1
"342","Sapoche",1
"267","Shallots 10 kg",1
"266","Shallots 5kg",1
"347","shiitake",1
"21","Silver beet",1
"61","Snake beans",1
"65","Snakekoil",1
"103","Snow pea",1
"104","Snow pea sprouts",1
"105","Soup pack",1
"22","Spring onion",1
"86","Squash",1
"372","Star fruit",1
"186","Strawberry 250g",1
"187","Strawberry 500g",1
"62","Stringless beans",1
"364","Sugar snap",1
"204","Sundowners",1
"205","Sundowners sales",1
"106","Swedes",1
"300","Sweet potato purple",1
"301","Sweet potato red",1
"302","Sweet potato white",1
"162","Tangelo",1
"351","Taro",1
"350","Taro Jap (Khoai So)",1
"91","Thai basil",1
"55","Thai eggplant",1
"339","Tia to",1
"115","Tomato Cherry box",1
"110","Tomato No2",1
"111","Tomato Roma",1
"112","Tomato Roma PKT",1
"113","Tomatoes Cherry",1
"114","Tomatoes Grape",1
"108","Tomatoes pkt",1
"116","Tomatoes Truss",1
"109","Tomatoes  No1",1
"117","Turmeric bag",1
"118","Turnip",1
"363","Water Cress",1
"331","Water Spinach",1
"308","Watermelons seeded",1
"307","Watermelons seedless",1
"251","White Dome",1
"328","White Pok choy",1
"119","White radish",1
"121","Winter melon cut",1
"120","Winters melon",1
"303","Yam (Khoai Mo)",1
"41","Yellow Chilli",1
"253","Yellow Grapefruit",1
"122","Zucchini",1